"result #	""search engine""	query	""article title""	""article url""	""article description""	""total nr of results (best guess)""",,,,,,,,
"86	duckduckgo	""Greta Thunberg""	""Greta Thunberg has collected funds for Antifa-supporting organisation ...""	https://voiceofeurope.com/2019/07/greta-thunberg-has-collected-funds-for-antifa-supporting-organisation/	""The Swedish climate oracle", Greta Thunberg," has recorded a song together with the band The 1975. In a tweet she promises that all revenue from the recording will go ...""	100",,,,,,
"87	duckduckgo	""Greta Thunberg""	""Greta Thunberg - Startseite | Facebook""	https://de-de.facebook.com/gretathunbergsweden/	""Greta Thunberg. Gefällt 2.420.574 Mal · 875.256 Personen sprechen darüber. 16 year old climate and environmental activist with Asperger&#x27;s #fridaysforfuture""	100",,,,,,,,
"88	duckduckgo	""Greta Thunberg""	""Greta Thunberg to lead youth climate strike in 150 countries on Friday ...""	https://www.vox.com/2019/9/17/20864740/greta-thunberg-youth-climate-strike-fridays-future	""Swedish climate activist Greta Thunberg delivers remarks to campaigners in Washington", DC, on September 13," 2019. She will lead the Global Climate Strike ...""	100",,,,,
"89	duckduckgo	""Greta Thunberg""	""Greta Thunberg: Why I began the climate protests that are going global ...""	https://www.newscientist.com/article/mg24132213-400-greta-thunberg-why-i-began-the-climate-protests-that-are-going-global/	""Swedish 16-year-old Greta Thunberg will lead a global school strike this week. Thousands of children are expected to walk-out to protest climate change ...""	100",,,,,,,,
"90	duckduckgo	""Greta Thunberg""	""Greta Thunberg Covers British Vogue&#x27;s September 2019 Issue - vogue.co.uk""	https://www.vogue.co.uk/article/greta-thunberg-vogue-september-2019-issue-cover	""Just after breakfast one morning in June"," photographer Peter Lindbergh went to find Greta Thunberg to take her portrait for British Vogue&#x27;s special ...""	100",,,,,,,
"91	duckduckgo	""Greta Thunberg""	""Greta Thunberg"," It&#x27;s OK to Fly to New York - Bloomberg""	https://www.bloomberg.com/opinion/articles/2019-08-04/greta-thunberg-it-s-ok-to-fly-to-new-york	""Aug 04"," 2019 · There are better ways to lower carbon emissions than sailing from Sweden to New York.""	100",,,,,,
"92	duckduckgo	""Greta Thunberg""	""How green is Greta Thunberg&#x27;s transatlantic trip? | UK News | Sky News""	https://news.sky.com/story/greta-thunberg-is-her-transatlantic-trip-really-that-green-11784480	""Greta Thunberg has set sail for New York", avoiding a plane journey for environmental reasons," but will her transatlantic trip really be 100% zero carbon?""	100",,,,,,
"93	duckduckgo	""Greta Thunberg""	""Greta Thunberg nominated for Nobel Peace Prize for climate activism ...""	https://www.bbc.com/news/world-europe-47568227	""Greta Thunberg", the Swedish schoolgirl who has inspired an international movement to fight climate change," has been nominated as a candidate to receive ...""	100",,,,,,
"94	duckduckgo	""Greta Thunberg""	""greta thunberg | De Volkskrant""	https://www.volkskrant.nl/tag/greta-thunberg	""Het laatste nieuws met duiding van redacteuren", achtergronden, columns, opinie, wetenschap," en recensies van kunst &amp; cultuur door de Volkskrant.""	100",,,
"95	duckduckgo	""Greta Thunberg""	""Greta Thunberg"," it&#x27;s OK to fly to New York - News - The Jakarta Post""	https://www.thejakartapost.com/travel/2019/08/05/greta-thunberg-its-ok-to-fly-to-new-york.html	""Greta Thunberg", the 16-year-old Swedish climate activist," recently announced that she will cross the Atlantic Ocean by boat to attend a United Nations ...""	100",,,,,
"96	duckduckgo	""Greta Thunberg""	""Greta Thunberg&#x27;s &#x27;zero-carbon&#x27; yacht trip won&#x27;t save ANY emissions as a ...""	https://www.thesun.co.uk/news/9739595/greta-thunbergs-carbon-free-yacht-trip-flights/	""GRETA Thunberg&#x27;s high-profile &quot;eco&quot; crossing of the Atlantic hit choppy waters tonight when it was revealed a crew will have to FLY to New York to bring ...""	100",,,,,,,,
"97	duckduckgo	""Greta Thunberg""	""Greta Thunberg", the teen behind climate strikes," hits back at Bolt ...""	https://thenewdaily.com.au/news/people/2019/08/02/greta-thunberg-andrew-bolt/	""Teen climate change activist Greta Thunberg has hit back after being called the &quot;disturbed messiah of the global warming movement&quot; in a newspaper column.""	100",,,,,,
"98	duckduckgo	""Greta Thunberg""	""Greta Thunberg Gifts &amp; Merchandise | Redbubble""	https://www.redbubble.com/shop/greta+thunberg	""High quality Greta Thunberg inspired T-Shirts", Posters," Mugs and more by independent artists and designers from around the world.All orders are custom made and most ...""	100",,,,,,
"99	duckduckgo	""Greta Thunberg""	""Klimaatactiviste Greta Thunberg vindt ontmoeting met Trump ...""	https://www.hln.be/nieuws/buitenland/klimaatactiviste-greta-thunberg-vindt-ontmoeting-met-trump-tijdverspilling~a6055848/	""&#x27;Klimaatmeisje&#x27; Greta Thunberg zal vandaag met de zeilboot afreizen naar New York om een klimaatbijeenkomst van de Verenigde Naties bij te wonen.""	100",,,,,,,,
